  31 0000000000000000000000000000000000000000000000000000000000000000
  30 000000000000000000000000000000000000000000000000ccceeeeeeeeee000
  29 0000000000000000aaaaa000000000000000000000000000ccc000eeeeeee000
  28 0000ff000000aaaaaaaaaaaaaaaaa0000000bb0000cccc0ccccc000eeeee0000
  27 00ffffaaaaaaaaaaaaaaaaaaaiiiiaaa000bbbbbbcccccddd000c00ee0000e00
  26 000f0fgggggaaaaaaaaaaaaaii000i0000000000bbbcccdd000dd00000000000
  25 f0ffgggggggggaaaaaaaiiiii000i000000000000bbddddddd0mmmm000000000
  24 gggggggggggggggiiiiiiiiiii0000000000000000kklllll0mmm0m000000000
  23 g0g0gg0ggghhhhhiiijjjjjj0j0000000000000000kklllllllm00000000000f
  22 gg0000ghhhhhhhhhhhjjjj00jj00000000000000000kkllllll000000000000g
  21 ggggggghhhhhhhhhhhjjjj0000000000000000000000klllll0000000000000g
  20 nnggggghhhh0hhhhhhjjjj00000000000000000000000kll00000000000000nn
  19 ooooogghhhh00hhh0hjj00000000000000000000000000kkl00l000000000nnn
  18 ooooogghh00000h000hh00j0000000000000000000000000kl00000000000noo
  17 ooooogghhh000000000000j000000000000000000000000000uuuu00000000oo
  16 00oooggpp000000000r0rr00000000000000000000000000000uuuu000000000
  15 00oooopp0000000000r0rr000r000000000000000000000000tuuuuuu0000000
  14 000ooopp000000000000000000r00000000000000000000000tuuuuuuu000000
  13 000opppp000000000000000ss00000000000000000000000000tuuuuuu000000
  12 000qqqp00p000000000000sssss0000000000000000000000000tvvvvv000000
  11 000qqqp0p000000000000sssssss000000000000000000000000tvvv00000000
  10 000qqq000000000000000sssssss00000000000000000000000tvvvv00000000
   9 0000000000000000000000000ss000000000000000000000000tvvv000000000
   8 0000000000000000000000000000000x0000000000000000000tv00000000000
   7 000000000000000000000000000000000000000000000000000tv00000000000
   6 0000000000000000000000000000000000000000000000000000000000000000
   5 0000000000000000000000000000000000000000000000000000000000000000
   4 0000000000000000000000000000000000000000000000000000000000000000
   3 000000wwwwwwwwwwwwwwwwwwwwwww00000000000000000000000ww0000000000
   2 wwwwwwwwwwwwwwwwwwwwwwwwwwwwww0000000000wwwwwwwwwwwwww000000wwww
   1 wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
   0 wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
  31 111111111111111111111111111111111111111111111111111111ee11111111
  30 11111111111111111a1111111111111111111111111111110000000000000e11
  29 1111ff111111a1110000011111a11111111111111111111100011e0000000e11
  28 111f0011111100000000000000000a11111100111c000010000011e00000e111
  27 1f00000000000000000000000000000011100000000000000d1101e00e111011
  26 11f0100000000000000000000011101111111bbb00000000ddd0011e11111111
  25 0f000000000000000000000001110i1111111111b00000000010000m111111f1
  24 00000000000000000000000000iii111111111111k00000001000m0m111111f1
  23 0g0g00g0000000000000000010j11111111111111k0000000000m111111111f0
  22 00gggg0000000000000000jj00j111111111111111k00000000m111111111110
  21 0000000000000000000000jjjj11111111111111111k00000011111111111110
  20 0000000000010000000000j111111111111111111111k000ll1111111111nn00
  19 000000000001h000h0001111111111111111111111111k00011011111111n000
  18 000000000111110h11001r0r1111111111111111111111kk001111111111n000
  17 0000000000111111111rrr0r1111111111111111111111111t00001111111o00
  16 1o0000000p111111110r00r111111111111111111111111111t0000u11111111
  15 1o000000p1111111110r00r11011111111111111111111111t00000001111111
  14 11o00000p11111111111rrrrrr01111111111111111111111t00000000111111
  13 11o00000p11111111111111001111111111111111111111111t0000000111111
  12 11q0000p1011111111111100000111111111111111111111111t000000111111
  11 11q0000p0111111111111000000011111111111111111111111t000011111111
  10 11q00011111111111111100000001111111111111111111111t00000v1111111
   9 11111111111111111111111ss0011111111111111111111111t0000v11111111
   8 111111111111111111111111111111x0111111111111111111t0011111111111
   7 11111111111111111111111111111111111111111111111111t0011111111111
   6 111111111111111111111111111111111111111111111111111t111111111111
   5 1111111111111111111111111111111111111111111111111111111111111111
   4 111111wwwwwwwwwwwwwwwwwwwwwww11111111111111111111111ww1111111111
   3 wwwwww00000000000000000000000w1111111111wwwwwwwwwwww00w11111wwww
   2 000000000000000000000000000000wwwwwwwwww00000000000000wwwwww0000
   1 0000000000000000000000000000000000000000000000000000000000000000
   0 0000000000000000000000000000000000000000000000000000000000000000
