           1   277.5000    
           2   280.2750    
           3   283.0777    
           4   285.9085    
           5   288.7676    
           6   291.6552    
           7   294.5718    
           8   297.5175    
           9   300.4926    
          10   303.4976    
          11   306.5325    
          12   309.5978    
          13   312.6938    
          14   315.8207    
          15   318.9789    
          16   322.1687    
          17   325.3904    
          18   328.6443    
          19   331.9308    
          20   335.2501    
          21   338.6026    
          22   341.9886    
          23   345.4085    
          24   348.8625    
          25   352.3512    
          26   355.8747    
          27   359.4334    
          28   363.0277    
          29   366.6580    
          30   370.3246    
          31   374.0278    
          32   377.7681    
          33   381.5458    
          34   385.3612    
          35   389.2148    
          36   393.1070    
          37   397.0381    
          38   401.0084    
          39   405.0185    
          40   409.0687    
          41   413.1593    
          42   417.2909    
          43   421.4638    
          44   425.6785    
          45   429.9352    
          46   434.2346    
          47   438.5769    
          48   442.9627    
          49   447.3923    
          50   451.8662    
          51   456.3849    
          52   460.9487    
          53   465.5582    
          54   470.2138    
          55   474.9160    
          56   479.6651    
          57   484.4618    
          58   489.3064    
          59   494.1994    
          60   499.1414    
          61   504.1328    
          62   509.1742    
          63   514.2659    
          64   519.4086    
          65   524.6027    
          66   529.8487    
          67   535.1472    
          68   540.4986    
          69   545.9036    
          70   551.3626    
          71   555.0000
